,0,1,2,3
[11 37],-0.31819941503906257,-9.787428125,-9.931173813468654,-0.34492257643847657
[10 37],-0.32187108105468754,-0.34231204021669925,-7.5,-9.940071144921877
[ 9 37],-0.3467253932451172,-0.344202516046875,-7.5854859375,-8.913818544921874
[ 8 37],-0.3464905426757813,-0.36095971948730476,-5.0,-8.820171875
[ 7 37],-0.334254072769043,-0.3594167741923829,-5.0,-9.92811484447754
[ 6 37],-0.3172557703125001,-0.32493597440917976,-8.928559994726562,-7.5726609375
[ 5 37],-7.5225,-0.32913234749121095,-5.0,-0.28436717187500005
[ 5 38],-8.82340625,-9.871194246875,-0.27421439843750006,-0.268261953125
[ 5 39],-0.27203984375,-8.854203125,-0.2941410910156251,-9.848807421875001
[ 4 39],-0.3041293990332032,-0.3052434175390626,-8.93329595205078,-7.5953578125
[ 3 39],-9.4970625,-0.3176417723632813,-0.32931311445312506,-8.836371875
[ 3 38],-9.8273471328125,-9.586430872265625,-0.28817329687500004,-0.30548107226562504
[ 3 37],-0.31312490742187504,-7.5900675,-9.51437765625,-0.323630333203125
[ 2 37],-0.3565221844189454,-0.33853447734375003,-8.912398606835938,-8.834093750000001
[ 1 37],-8.874482867187501,-0.3606191166503907,-0.35542272679687503,-9.5363828671875
[ 1 36],-10.179748883046875,-9.52791706640625,-0.41218212160327156,-0.3597828128320313
[ 1 35],-10.124364012895537,-0.44297326166033024,-0.4152522036223389,-0.3953464397973634
[ 2 35],-0.4256720772700196,-0.43462835361971197,-10.213674627299756,-9.599837709262648
[ 1 34],-9.896884616796875,-7.5936871875,-0.4162797176136963,-0.4225239272055735
[ 1 33],-9.7971734375,-9.614294299557265,-0.4196356772209717,-0.4309051764225469
[ 1 32],-9.64434451302887,-8.922118481679687,-0.389320144604004,-0.43120446845265226
[ 1 31],-8.921487416493653,-0.3845181754003907,-8.949011594726564,-0.40981213313891607
[ 3 35],-0.43767241739494633,-0.43272616254785157,-9.51993547265625,-8.87932609765625
[ 4 35],-0.44921359293528085,-0.4479481077984241,-8.95938436972007,-10.131955171409523
[ 5 35],-0.45772175410022586,-0.45690703730234383,-10.014010501645451,-8.783750000000001
[ 6 35],-0.47191413643730107,-0.4707110321562904,-7.671835007896143,-8.800625
[ 2 31],-0.40422324422495853,-0.3880967379980469,-9.84048171875,-10.112756263671876
[ 3 31],-0.411616351911377,-10.080789330834886,-0.40615434934912115,-0.42847823865778206
[ 3 32],-9.938586514941406,-7.5225,-0.43442430962025147,-0.40199769632685556
[ 3 33],-9.957461130408888,-8.950134777097022,-0.41089245085156256,-9.56167107421875
[ 3 30],-10.061600639062501,-9.620406294074707,-0.4244112251081543,-0.4108339106628419
[ 3 29],-0.4411493423160113,-9.85537021484375,-9.524195703515625,-0.43212947095568854
[ 2 29],-0.43844701186447094,-0.44970195625620124,-10.010050061985602,-5.0
[ 1 29],-9.623097056835938,-0.46875899154542733,-0.4281196084410279,-9.893234983203126
[ 1 28],-8.78375,-7.5,-0.42997781670007335,-0.44593507474304267
[ 1 27],-7.5495,-0.41869401315658084,-7.67445496351355,-0.43083851430542003
[ 2 27],-0.4306237638687134,-0.42011296158257205,-8.926713390546874,-9.933582545319648
[ 3 27],-0.43205718273758553,-9.934213895197754,-0.4118774209890137,-7.571521875
[ 3 26],-9.67614652543396,-10.15312308793396,-0.42852344908175666,-0.39313286499877936
[ 3 25],-9.618970528859418,-9.869387839296875,-0.4148054603251282,-0.4266677552171021
[ 3 24],-8.832814062499999,-9.013452254386408,-0.4360668594900379,-0.42207469487731936
[ 3 23],-0.4645540345588796,-9.913225532351415,-7.58943328125,-0.43626755077968143
[ 2 23],-0.4681462794129626,-0.45546641513214053,-9.580755006329582,-7.5225
[ 1 23],-9.950287067573292,-0.47008870216403975,-7.631261958984375,-0.4939070630486535
[ 1 24],-10.376963588097308,-5.0,-0.4748850151063304,-0.4723784583647523
[ 1 25],-9.658240306940197,-9.623849454120117,-0.48223078112615697,-7.601958046875
[ 7 35],-0.4857679125128293,-0.47739992941870335,-7.5225,-10.158313982356933
[ 8 35],-0.4929319957344639,-0.45932055487991463,-8.91117280859375,-9.885012417968749
[ 9 35],-0.47033651284333544,-0.4445057485189632,-9.546119882812501,-7.668765128121973
[10 35],-0.45399434786137705,-0.46641280414020303,-9.990803709418092,-5.0
[11 35],-0.47101810560757335,-0.4620364792630793,-9.599384312988281,-9.505301040234375
[12 35],-0.4776706920927049,-0.4458312432357789,-5.0,-9.994316928652538
[13 35],-0.4663579933835724,-0.4493531251772095,-10.139947672186889,-0.4479266541799256
[14 35],-0.45250886311263616,-0.42294691824145514,-9.935097428411144,-5.0
[13 36],-10.085129974775391,-10.269920724452653,-0.46084674860627417,-0.4546193639409193
[13 37],-7.593965625,-9.925818839177978,-0.469628617881941,-0.42379324588025036
[13 38],-7.5545625,-8.86710828125,-0.44182649789400924,-0.4166316903871778
[15 35],-0.42634199290976565,-0.3838937018090821,-10.079737438623047,-10.124337767639283
[16 35],-0.387470663237096,-0.41080124622346204,-7.644988883217773,-7.6212586453125
