,state,action_space,reward,Q,action
8721,[45 41],l,-0.1,-0.29071351835937503,3
8722,[45 42],l,-0.1,-0.29931373242187503,3
8723,[45 43],r,-0.1,-0.30001730937500004,2
8724,[45 42],r,-0.1,-0.30149452734375004,2
8725,[45 41],r,-0.1,-0.31546391830078124,2
8726,[45 40],l,-0.1,-0.3255809490820313,3
8727,[45 41],l,-0.1,-0.3300479387695313,3
8728,[45 42],d,-10,-7.634691179589844,1
8729,[45 42],l,-0.1,-0.3346646554296876,3
8730,[45 43],r,-0.1,-0.33568119199218754,2
8731,[45 42],r,-0.1,-0.34270602690722657,2
8732,[45 41],r,-0.1,-0.34380427083007814,2
8733,[45 40],r,-0.1,-0.3406886128417969,2
8734,[45 39],u,-10,-9.920402521191406,0
8735,[45 39],l,-0.1,-0.35150826644238287,3
8736,[45 40],l,-0.1,-0.36131204698730474,3
8737,[45 41],l,-0.1,-0.3656230643281251,3
8738,[45 42],l,-0.1,-0.3610583167382813,3
8739,[45 43],d,-0.1,-0.3454710827460938,1
8740,[46 43],d,-0.1,-0.3374447832714844,1
8741,[47 43],l,-0.1,-0.3418813702734375,3
8742,[47 44],u,-10,-10.077197512851562,0
8743,[47 44],r,-0.1,-0.3429970707617188,2
8744,[47 43],u,-0.1,-0.33901607597656247,0
8745,[46 43],u,-0.1,-0.3526725285839844,0
8746,[45 43],r,-0.1,-0.3720583081043457,2
8747,[45 42],r,-0.1,-0.37606493532714846,2
8748,[45 41],l,-0.1,-0.3952877746962891,3
8749,[45 42],l,-0.1,-0.3859911456048829,3
8750,[45 43],d,-0.1,-0.3745856938452149,1
8751,[46 43],d,-0.1,-0.3712796258251953,1
8752,[47 43],u,-0.1,-0.3782106758510742,0
8753,[46 43],d,-0.1,-0.3894864295356445,1
8754,[47 43],l,-0.1,-0.3660843574560547,3
8755,[47 44],l,-0.1,-0.36372067994140633,3
8756,[47 45],u,-0.1,-0.3740438844990235,0
8757,[46 45],r,-10,-8.90801913088086,2
8758,[46 45],u,-0.1,-0.3570116334570313,0
8759,[45 45],l,-0.1,-0.34259243789062505,3
8760,[45 46],r,-0.1,-0.37213377083496096,2
8761,[45 45],r,-10,-9.909320581425781,2
8762,[45 45],l,-0.1,-0.3539610775390626,3
8763,[45 46],l,-0.1,-0.328850366796875,3
8764,[45 47],u,-0.1,-0.339843573046875,0
8765,[44 47],d,-0.1,-0.3527920488281251,1
8766,[45 47],r,-0.1,-0.35689530177734374,2
8767,[45 46],u,-10,-10.084467877558595,0
8768,[45 46],l,-0.1,-0.3673547912695313,3
8769,[45 47],u,-0.1,-0.3733283333984375,0
8770,[44 47],u,-0.1,-0.37279110723632813,0
8771,[43 47],d,-0.1,-0.37802240917968755,1
8772,[44 47],d,-0.1,-0.38699891021386723,1
8773,[45 47],u,-0.1,-0.40442016495556643,0
8774,[44 47],u,-0.1,-0.39157795682509766,0
8775,[43 47],r,-0.1,-0.38308311914868165,2
8776,[43 46],r,-0.1,-0.39048443081250006,2
8777,[43 45],r,-0.1,-0.37383189786621096,2
8778,[43 44],r,-0.1,-0.34397572695312506,2
8779,[43 43],d,-10,-10.143411351933594,1
